C,S,SF,LP,QP,FA,NS,W,Sand,Gravel,Fi,SP,RH,T,Age,fc
450,0,50,0,0,0,0,90,797,1195,0,18,95,20,28,131
630,0,70,0,0,0,0,126,715,1073,0,18,95,20,28,135
810,0,90,0,0,0,0,162,616,923,0,18,95,20,28,137
810,0,90,0,0,0,0,162,616,923,0,18,95,20,28,137
630,180,90,0,0,0,0,126,616,923,0,18,95,20,28,150
630,180,90,0,0,0,0,144,616,923,0,18,95,20,28,142
630,180,90,0,0,0,0,144,616,923,0,18,95,20,28,142
450,180,90,180,0,0,0,144,616,923,0,18,95,20,28,150
270,180,90,360,0,0,0,144,616,923,0,18,95,20,28,130
450,0,50,0,0,0,0,90,797,1195,0,18,95,20,56,139
630,0,70,0,0,0,0,126,715,1073,0,18,95,20,56,146
810,0,90,0,0,0,0,162,616,923,0,18,95,20,56,150
810,0,90,0,0,0,0,162,616,923,0,18,95,20,56,150
630,180,90,0,0,0,0,162,616,923,0,18,95,20,56,141
450,360,90,0,0,0,0,162,616,923,0,18,95,20,56,133
630,180,90,0,0,0,0,126,616,923,0,18,95,20,56,159
630,180,90,0,0,0,0,144,616,923,0,18,95,20,56,160
630,180,90,0,0,0,0,162,616,923,0,18,95,20,56,141
630,180,90,0,0,0,0,144,616,923,0,18,95,20,56,160
450,180,90,180,0,0,0,144,616,923,0,18,95,20,56,161
450,0,50,0,0,0,0,90,797,1195,0,18,95,20,90,151
630,0,70,0,0,0,0,126,715,1073,0,18,95,20,90,160
810,0,90,0,0,0,0,162,616,923,0,18,95,20,90,170
810,0,90,0,0,0,0,162,616,923,0,18,95,20,90,170
630,180,90,0,0,0,0,162,616,923,0,18,95,20,90,169
630,180,90,0,0,0,0,126,616,923,0,18,95,20,90,168
630,180,90,0,0,0,0,144,616,923,0,18,95,20,90,172
630,180,90,0,0,0,0,162,616,923,0,18,95,20,90,169
630,180,90,0,0,0,0,144,616,923,0,18,95,20,90,172
450,180,90,180,0,0,0,144,616,923,0,18,95,20,90,176
270,180,90,360,0,0,0,144,616,923,0,18,95,20,90,150
450,0,50,0,0,0,0,90,797,1195,0,18,95,20,180,159
630,0,70,0,0,0,0,126,715,1073,0,18,95,20,180,167
810,0,90,0,0,0,0,162,616,923,0,18,95,20,180,174
810,0,90,0,0,0,0,162,616,923,0,18,95,20,180,174
630,180,90,0,0,0,0,162,616,923,0,18,95,20,180,170
630,180,90,0,0,0,0,126,616,923,0,18,95,20,180,168
630,180,90,0,0,0,0,144,616,923,0,18,95,20,180,175
630,180,90,0,0,0,0,162,616,923,0,18,95,20,180,170
630,180,90,0,0,0,0,144,616,923,0,18,95,20,180,175
450,180,90,180,0,0,0,144,616,923,0,18,95,20,180,179
270,180,90,360,0,0,0,144,616,923,0,18,95,20,180,160
450,0,50,0,0,0,0,90,797,1195,0,18,95,20,365,161
630,0,70,0,0,0,0,126,715,1073,0,18,95,20,365,169
810,0,90,0,0,0,0,162,616,923,0,18,95,20,365,177
810,0,90,0,0,0,0,162,616,923,0,18,95,20,365,177
630,180,90,0,0,0,0,162,616,923,0,18,95,20,365,174
630,180,90,0,0,0,0,126,616,923,0,18,95,20,365,168
630,180,90,0,0,0,0,144,616,923,0,18,95,20,365,178
630,180,90,0,0,0,0,162,616,923,0,18,95,20,365,174
630,180,90,0,0,0,0,144,616,923,0,18,95,20,365,178
450,180,90,180,0,0,0,144,616,923,0,18,95,20,365,183
270,180,90,360,0,0,0,144,616,923,0,18,95,20,365,164
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,0,45.9,100,21,7,85.91
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,0,45.9,100,21,7,78.52
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,0,45.9,100,21,7,85.91
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,39,45.9,100,21,7,106.71
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,39,45.9,100,21,7,89.93
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,39,45.9,100,21,7,99.33
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,78,45.9,100,21,7,108.73
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,78,45.9,100,21,7,92.62
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,78,45.9,100,21,7,102.01
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,117,45.9,100,21,7,110.74
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,117,45.9,100,21,7,100
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,117,45.9,100,21,7,108.73
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,156,45.9,100,21,7,120.81
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,156,45.9,100,21,7,105.37
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,156,45.9,100,21,7,114.77
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,195,45.9,100,21,7,114.09
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,195,45.9,100,21,7,122.82
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,0,45.9,100,21,28,100.67
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,0,45.9,100,21,28,88.59
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,39,45.9,100,21,28,115.44
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,39,45.9,100,21,28,100.67
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,39,45.9,100,21,28,106.71
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,78,45.9,100,21,28,124.83
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,78,45.9,100,21,28,114.09
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,78,45.9,100,21,28,120.81
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,117,45.9,100,21,28,132.22
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,117,45.9,100,21,28,126.17
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,117,45.9,100,21,28,130.2
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,156,45.9,100,21,28,146.31
699.9,0,43.7,0,175,0,0,202.1,1273.4,0,156,45.9,100,21,28,139.6
874.9,0,43.7,0,0,0,0,202.1,1273.4,0,195,45.9,100,21,28,155.71
612.4,0,43.7,262.5,0,0,0,202.1,1273.4,0,195,45.9,100,21,28,141.61
