Cement (kg/m3),Silica fume (kg/m3),Water (kg/m3),Super plasticizer (kg/m3),FA=Sand (kg/m3),CA=Gravel (kg/m3),Age (days),Compressive strength (MPa)
400,80,120,12,654,1215,3,43.2
400,80,120,12,654,1215,7,60.8
400,80,120,12,654,1215,28,84.3
400,80,120,12,654,1215,56,87.3
450,90,135,13.5,620,1152,3,44.6
450,90,135,13.5,620,1152,7,69.6
450,90,135,13.5,620,1152,28,87.3
450,90,135,13.5,620,1152,56,89.2
500,100,150,15,586,1088,3,40.2
500,100,150,15,586,1088,7,54.6
500,100,150,15,586,1088,28,78.6
500,100,150,15,586,1088,56,81.4
550,110,165,16.5,552,1024,3,38.7
550,110,165,16.5,552,1024,7,51.5
550,110,165,16.5,552,1024,28,70.6
550,110,165,16.5,552,1024,56,74.5
600,120,180,18,518,961,3,37.8
600,120,180,18,518,961,7,48.1
600,120,180,18,518,961,28,68.7
600,120,180,18,518,961,56,73.1
450,0,113,13.5,680,1262,3,44.6
450,0,113,13.5,680,1262,7,53.9
450,0,113,13.5,680,1262,28,64.7
450,0,113,13.5,680,1262,56,76.5
450,45,124,13.5,650,1207,3,43.6
450,45,124,13.5,650,1207,7,53.6
450,45,124,13.5,650,1207,28,73.6
450,45,124,13.5,650,1207,56,76.5
450,67.5,129,13.5,635,1179,3,41.2
450,67.5,129,13.5,635,1179,7,60.8
450,67.5,129,13.5,635,1179,28,81.4
450,67.5,129,13.5,635,1179,56,84.3
450,112.5,141,13.5,605,1124,3,43.2
450,112.5,141,13.5,605,1124,7,58.9
450,112.5,141,13.5,605,1124,28,80.4
450,112.5,141,13.5,605,1124,56,83.4
450,90,135,13.5,709,1063,3,40
450,90,135,13.5,709,1063,7,60
450,90,135,13.5,709,1063,28,71.6
450,90,135,13.5,709,1063,56,80
450,90,135,13.5,443,1329,3,45
450,90,135,13.5,443,1329,7,65
450,90,135,13.5,443,1329,28,74.5
450,90,135,13.5,443,1329,56,80
450,90,135,13.5,620,1152,3,44.1
450,90,135,13.5,620,1152,7,60.8
450,90,135,13.5,620,1152,28,78.5
450,90,135,13.5,620,1152,56,81.4
450,90,243,0,531,986,3,30
450,90,243,0,531,986,7,32.4
450,90,243,0,531,986,28,43.2
450,90,243,0,531,986,56,47.1
450,90,227,2.25,544,1010,3,28
450,90,227,2.25,544,1010,7,33.4
450,90,227,2.25,544,1010,28,47.1
450,90,227,2.25,544,1010,56,50
450,90,194,4.5,572,1062,3,31
450,90,194,4.5,572,1062,7,37.3
450,90,194,4.5,572,1062,28,52.5
450,90,194,4.5,572,1062,56,58.9
450,90,173,9,589,1093,3,40
450,90,173,9,589,1093,7,50
450,90,173,9,589,1093,28,64.7
450,90,173,9,589,1093,56,68.7
450,90,130,13.5,625,1161,3,60
450,90,130,13.5,625,1161,7,70.6
450,90,130,13.5,625,1161,28,89.2
450,90,130,13.5,625,1161,56,91.2
450,90,108,18,641,1192,3,60
450,90,108,18,641,1192,7,67.7
450,90,108,18,641,1192,28,89.3
450,90,108,18,641,1192,56,91.2
450,90,243,0,531,986,56,47.1
550,110,165,16.5,552,1024,28,70.6
450,90,108,18,641,1192,56,91.2
450,90,173,9,589,1093,3,40
450,0,113,13.5,680,1262,3,44.6
450,0,113,13.5,680,1262,56,76.5
400,80,120,12,654,1215,28,84.3
450,0,113,13.5,680,1262,7,53.9
450,90,227,2.25,544,1010,3,28
400,80,120,12,654,1215,7,60.8
450,67.5,129,13.5,635,1179,7,60.8
450,90,135,13.5,709,1063,7,60
400,80,120,12,654,1215,7,60.8
450,90,173,9,589,1093,56,68.7
450,90,194,4.5,572,1062,56,58.9
450,0,113,13.5,680,1262,3,44.6
450,112.5,141,13.5,605,1124,3,43.2
450,90,194,4.5,572,1062,7,37.3
450,0,113,13.5,680,1262,7,53.9
450,90,243,0,531,986,3,30
450,90,194,4.5,572,1062,28,52.5
450,90,135,13.5,443,1329,7,65
450,90,194,4.5,572,1062,56,58.9
550,110,165,16.5,552,1024,28,70.6
450,90,173,9,589,1093,7,50
450,90,173,9,589,1093,7,50
450,90,135,13.5,620,1152,28,78.5
450,90,173,9,589,1093,7,50
450,90,243,0,531,986,28,43.2
450,90,227,2.25,544,1010,28,47.1
450,90,173,9,589,1093,56,68.7
400,80,120,12,654,1215,28,84.3
450,90,243,0,531,986,28,43.2
450,90,135,13.5,620,1152,28,87.3
450,0,113,13.5,680,1262,3,44.6
450,90,135,13.5,709,1063,28,71.6
600,120,180,18,518,961,7,48.1
400,80,120,12,654,1215,56,87.3
450,90,194,4.5,572,1062,56,58.9
550,110,165,16.5,552,1024,7,51.5
500,100,150,15,586,1088,3,40.2
450,90,227,2.25,544,1010,3,28
400,80,120,12,654,1215,7,60.8
450,90,194,4.5,572,1062,56,58.9
450,90,108,18,641,1192,28,89.3
450,90,135,13.5,443,1329,56,80
