Cement,Fine_Aggregates,Coarse_Aggregates,Water,Water_reducing_Admixture,Fly_Ash,Accelerating_Agent,Silica_Fume,Time,Strength
380,832,1017,171,6.84,0,0,0,7,36.2
338,824,1007,171,7.16,60,0,0,7,36.4
241,896,1051,170,4.24,42,0,0,7,18.9
358,823,1047,172,5.37,0,0,0,7,36.8
304,823,1047,172,5.37,54,0,0,7,35.6
205,925,1044,190,3.62,36,0,0,7,17.3
425,758,1047,170,6.38,0,0,0,7,45.4
369,738,1063,165,7.81,65,0,0,7,47.5
321,859,1050,170,4.82,0,0,0,7,30.7
281,835,1062,172,4.96,50,0,0,7,31.3
353,780,1035,170,6.22,62,0,0,7,39.1
391,790,1047,172,5.86,0,0,0,7,40.9
293,891,1046,170,4.4,0,0,0,7,24.6
266,843,1072,172,4.7,47,0,0,7,24.4
209,988,989,174,3.74,40,0,0,7,18.9
235,965,1004,171,4.2,45,0,0,7,22.6
270,926,1003,170,4.82,51,0,0,7,29
319,866,1017,167,5.7,61,0,0,7,38.5
332,893,968,174,7.11,63,0,0,7,36.2
324,843,1031,170,5.79,62,0,0,7,36.8
216,789,1089,162,5.4,144,0,0,7,30.6
344,842,1030,168,6.15,66,0,0,7,41.4
276,927,1046,171,4.14,0,0,0,7,23
309,893,1048,170,4.64,0,0,0,7,29.5
373,869,1020,168,5.6,0,0,0,7,36.6
384,880,993,173,6.91,0,0,0,7,36.9
384,841,1027,168,5.76,0,0,0,7,37.7
395,822,1047,166,5.92,0,0,0,7,39.9
431,796,1055,168,7.76,0,0,0,7,44.6
470,761,929,190,5.64,0,0,0,7,26.7
450,770,942,188,5.4,0,0,0,7,22.5
250,1600,0,270,0,0,0,0,7,6.3
300,1600,0,270,0,0,0,0,7,12.7
320,1600,0,280,0,0,0,0,7,15.3
400,1600,0,280,0,0,0,0,7,17.9
540,1600,0,300,0,0,0,0,7,26.8
790,950,0,386,7.9,0,0,0,7,29.9
560,1600,0,250,5.6,0,0,0,7,34.6
500,805,805,240,0,0,30,0,7,35
469,826,825,230,0,0,28.14,0,7,30.76666667
500,832,833,185,0,4,50,0,7,37.5
460,853,853,184,0,3.68,46,0,7,31.83333333
386,830,1014,170,6.95,0,0,0,7,39.16666667
320,788,1044,168,7.2,80,0,0,7,38.86666667
313,775,1071,172,5.73,69,0,0,7,37.9
375,818,1042,165,5.62,0,0,0,7,41.46666667
305,807,1069,165,5.38,54,0,0,7,31.1
344,832,1059,165,5.16,0,0,0,7,31.53333333
317,825,1093,165,4.76,0,0,0,7,35.3
286,834,1062,168,5.04,50,0,0,7,31.26666667
365,821,1046,168,5.48,0,0,0,7,32.06666667
382,814,1036,168,5.73,0,0,0,7,40.23333333
378,815,1037,170,5.67,0,0,0,7,38.4
336,771,1064,170,5.92,59,0,0,7,38.8
434,740,1111,165,7.81,0,0,0,7,49.56666667
382,771,1064,166,8.08,67,0,0,7,45.53333333
444,757,1089,160,7.99,0,0,0,7,46.76666667
376,736,1104,168,7.96,66,0,0,7,45.43333333
275,834,1106,165,4.13,0,0,0,7,24.86666667
295,845,1075,165,4.43,0,0,0,7,27.3
259,820,1087,168,4.58,46,0,0,7,26.46666667
446,772,1067,165,6.69,0,0,0,7,45.93333333
242,851,1127,160,3.63,0,0,0,7,20.96666667
383,719,1225,153,6.13,0,0,0,7,6.266666667
393,792,1050,165,5.5,0,0,0,7,42.93333333
225,763,1097,165,7.5,150,0,0,7,27.6
234,834,1106,165,3.9,41,0,0,7,22.5
252,880,1033,168,4.2,48,0,0,7,25.1
293,881,1036,168,4.1,0,0,0,7,28.2
257,880,1033,166,4.5,45,0,0,7,27.8
276,853,1042,168,5,60,0,0,7,30
323,859,1050,168,4.8,0,0,0,7,33.2
293,863,1012,168,5.4,64,0,0,7,30.7
343,869,1020,169,5.1,0,0,0,7,34.5
313,818,1040,168,6,60,0,0,7,34.8
370,837,1023,170,5.9,0,0,0,7,35.4
321,865,976,168,7,70,0,0,7,35.8
378,852,1000,170,6.8,0,0,0,7,37.2
317,870,980,168,6.5,65,0,0,7,31.9
365,877,990,168,6.2,0,0,0,7,36
325,851,999,168,6.5,57,0,0,7,35.4
373,855,1004,168,6.3,0,0,0,7,36.3
376,791,1048,165,8,70,0,0,7,42.1
423,801,1061,165,7.6,0,0,0,7,44.8
385,822,1005,165,8.2,73,0,0,7,43
434,833,1018,165,7.8,0,0,0,7,45.3
340,806,1026,168,6.8,60,0,0,7,39.5
391,829,1012,168,6.6,0,0,0,7,41.6
463,901,901,185,6.5,0,32.4,0,7,29.3
500,883,883,185,7,0,35,0,7,32.4
450,785,785,180,5.4,0,27,0,7,27.8
420,796,795,189,5.04,0,16.8,0,7,23.1
295,861,970,171,5.97,103,0,0,7,39.2
295,861,970,171,5.97,103,0,0,7,39.2
338,864,975,163,5.17,60,0,0,7,43.9
296,776,1116,160,3.83,52,0,0,7,38.9
280,838,1067,165,3.96,50,0,0,7,33.8
269,862,1053,168,3.804,48,0,0,7,27.6
238,937,1015,168,3.36,42,0,0,7,22.5
350,784,1039,165,5.36,62,0,0,7,43.9
357,725,1087,168,6.3,63,0,0,7,48.6
494,737,1061,158,7.41,0,0,0,7,59.2
480,706,1059,158,7.91,47,0,0,7,64.2
318,861,970,171,5.17,80,0,0,7,39.6
214,917,1033,165,3.42,71,0,0,7,19.9
267,903,1019,164,3.768,47,0,0,7,24.9
450,840,840,171,0,0,27,0,7,21.3
470,826,826,178,0,0,28.2,0,7,26.2
293,871,1023,162,4.128,52,0,0,7,26.8
300,863,974,163,5.6,100,0,0,7,36
323,855,1003,162,4.94,57,0,0,7,29.5
298,860,970,172,5.97,100,0,0,7,36
340,826,1009,165,5.2,60,0,0,7,37.1
357,823,1047,160,5.46,63,0,0,7,46.8
311,816,997,172,6.225,104,0,0,7,38.2
483,742,1067,162,7.245,0,0,0,7,58.6
290,1600,0,280,0,0,0,0,7,8.5
